#overlapped_WTuntr_H3K27ac Enhancers
#Created from WTuntr_SE/overlapped_WTuntr_H3K27ac_12KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by WTuntr_merged.bam
#Using cutoff of 10679.2405 for Super-Enhancers
#Created on Νοε 24 2021 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	WTuntr_merged.bam	WTuntr_Input_merged.bam	enhancerRank	isSuper
8_WTuntr_H3K27ac_rep_A_peak_18895_lociStitched	chr5	121685019	121721875	8	20146	48697.8328	5974.3576	31	1
3_WTuntr_H3K27ac_rep_A_peak_5557_lociStitched	chr12	86882255	86905418	3	15867	46525.2018	3981.7197	32	1
5_WTuntr_H3K27ac_rep_A_peak_4249_lociStitched	chr11	98772606	98796617	5	14095	46619.7576	4432.4306	33	1
11_WTuntr_H3K27ac_rep_A_peak_15291_lociStitched	chr3	89266583	89306633	11	19719	50226.705	8234.28	34	1
6_WTuntr_H3K27ac_rep_A_peak_17503_lociStitched	chr4	141301226	141333464	6	18963	48602.0088	6631.3566	35	1
5_WTuntr_H3K27ac_rep_A_peak_888_lociStitched	chr1	133361207	133379741	5	16263	45311.9232	3760.5486	36	1
6_WTuntr_H3K27ac_rep_A_peak_24398_lociStitched	chr9	35106223	35140206	6	21186	47871.8521	6507.7445	37	1
7_WTuntr_H3K27ac_rep_A_peak_22041_lociStitched	chr7	99155579	99199389	7	25594	49211.773	8122.374	38	1
6_WTuntr_H3K27ac_rep_A_peak_9315_lociStitched	chr16	18405593	18434277	6	18466	45639.1124	5194.6724	39	1
6_WTuntr_H3K27ac_rep_A_peak_15958_lociStitched	chr3	146567502	146600989	6	18182	44808.9547	4735.0618	40	1
7_WTuntr_H3K27ac_rep_A_peak_2138_lociStitched	chr10	77089218	77119007	7	21918	45198.8497	5451.387	41	1
9_WTuntr_H3K27ac_rep_A_peak_18720_lociStitched	chr5	113122457	113155203	9	17155	46374.8852	6699.8316	42	1
10_WTuntr_H3K27ac_rep_A_peak_11529_lociStitched	chr18	46596858	46651509	10	23648	47180.2083	7580.0937	43	1
4_WTuntr_H3K27ac_rep_A_peak_13144_lociStitched	chr2	27671322	27692167	4	18796	44205.9915	4621.3365	44	1
9_WTuntr_H3K27ac_rep_A_peak_11991_lociStitched	chr19	4544674	4600823	9	25771	47507.6689	8276.3626	45	1
4_WTuntr_H3K27ac_rep_A_peak_5720_lociStitched	chr12	104840225	104865389	4	23685	44223.2136	5100.7428	46	1
7_WTuntr_H3K27ac_rep_A_peak_2827_lociStitched	chr10	127596256	127644174	7	18574	47175.271	8289.814	47	1
15_WTuntr_H3K27ac_rep_A_peak_8865_lociStitched	chr15	88819009	88876567	15	20390	49678.3098	11131.7172	48	1
3_WTuntr_H3K27ac_rep_A_peak_24099_lociStitched	chr8	126582840	126596789	3	12580	40315.3998	2586.1446	49	1
10_WTuntr_H3K27ac_rep_A_peak_23563_lociStitched	chr8	94353596	94390130	10	13563	43625.2494	6696.6822	50	1
14_WTuntr_H3K27ac_rep_A_peak_8932_lociStitched	chr15	97003914	97051022	14	21775	43537.2136	6722.3116	51	1
13_WTuntr_H3K27ac_rep_A_peak_10256_lociStitched	chr17	26561141	26638791	13	25218	51994.44	15203.87	52	1
9_WTuntr_H3K27ac_rep_A_peak_20148_lociStitched	chr6	85838449	85870108	9	19636	41422.6356	4755.1818	53	1
8_WTuntr_H3K27ac_rep_A_peak_6643_lociStitched	chr13	81315675	81351970	8	18085	40762.9145	4137.63	54	1
6_WTuntr_H3K27ac_rep_A_peak_21379_lociStitched	chr7	28371799	28393303	6	12691	40380.2112	4102.9632	55	1
8_WTuntr_H3K27ac_rep_A_peak_6020_lociStitched	chr13	24326236	24376045	8	21213	42247.9938	6246.0486	56	1
7_WTuntr_H3K27ac_rep_A_peak_9362_lociStitched	chr16	22877114	22902420	7	18584	40347.8864	4608.2226	57	1
10_WTuntr_H3K27ac_rep_A_peak_14910_lociStitched	chr3	28695097	28737945	10	18620	41455.44	5814.4736	58	1
4_WTuntr_H3K27ac_rep_A_peak_9407_lociStitched	chr16	23972414	23994713	4	17127	39027.7098	3661.4958	59	1
8_WTuntr_H3K27ac_rep_A_peak_14479_lociStitched	chr2	163535166	163560111	8	15246	39956.901	4684.671	60	1
5_WTuntr_H3K27ac_rep_A_peak_8338_lociStitched	chr15	59647410	59681226	5	13022	40792.2408	5583.0216	61	1
12_WTuntr_H3K27ac_rep_A_peak_2855_lociStitched	chr10	127865925	127905421	12	18469	41656.4312	6469.4448	62	1
6_WTuntr_H3K27ac_rep_A_peak_21624_lociStitched	chr7	45703740	45718571	6	10369	37954.0121	3368.1201	63	1
2_WTuntr_H3K27ac_rep_A_peak_19347_lociStitched	chr5	142813630	142824161	2	10084	36666.8358	2133.5806	64	1
4_WTuntr_H3K27ac_rep_A_peak_4116_lociStitched	chr11	94133607	94166324	4	14066	40264.8119	6111.5356	65	1
5_WTuntr_H3K27ac_rep_A_peak_4748_lociStitched	chr11	117825478	117849158	5	12580	38700.224	4612.864	66	1
4_WTuntr_H3K27ac_rep_A_peak_20268_lociStitched	chr6	90539242	90558668	4	17889	37589.31	3679.2844	67	1
7_WTuntr_H3K27ac_rep_A_peak_3776_lociStitched	chr11	75437984	75469272	7	14954	40117.4736	6232.5696	68	1
2_WTuntr_H3K27ac_rep_A_peak_111_lociStitched	chr1	36064899	36079718	2	14409	36554.0273	2928.2344	69	1
19_WTuntr_H3K27ac_rep_A_peak_9415_lociStitched	chr16	24034269	24104280	19	18480	43084.7694	9479.4894	70	1
8_WTuntr_H3K27ac_rep_A_peak_25028_lociStitched	chr9	74911591	74956290	8	14947	40649.2706	7044.5624	71	1
7_WTuntr_H3K27ac_rep_A_peak_20096_lociStitched	chr6	82029120	82074273	7	17762	41305.9644	7752.7701	72	1
6_WTuntr_H3K27ac_rep_A_peak_25316_lociStitched	chr9	107650223	107676477	6	14130	38309.8368	4883.244	73	1
5_WTuntr_H3K27ac_rep_A_peak_22102_lociStitched	chr7	101298962	101333168	5	15763	40239.9384	6906.1914	74	1
5_WTuntr_H3K27ac_rep_A_peak_4861_lociStitched	chr11	120597791	120633585	5	13168	40454.3788	7226.8086	75	1
5_WTuntr_H3K27ac_rep_A_peak_652_lociStitched	chr1	91435606	91465374	5	17290	39237.2008	6054.8112	76	1
1_WTuntr_H3K27ac_rep_A_peak_18952_lociStitched	chr5	123134799	123144760	1	9962	34880.4337	1992.2	77	1
11_WTuntr_H3K27ac_rep_A_peak_23825_lociStitched	chr8	114085720	114143003	11	23749	40848.5073	8031.0766	78	1
7_WTuntr_H3K27ac_rep_A_peak_2247_lociStitched	chr10	80249208	80293046	7	16210	41821.452	9131.4554	79	1
9_WTuntr_H3K27ac_rep_A_peak_17530_lociStitched	chr4	141719527	141750035	9	16242	38165.508	5476.186	80	1
12_WTuntr_H3K27ac_rep_A_peak_24578_lociStitched	chr9	48722626	48755990	12	19489	38618.83	6175.6764	81	1
9_WTuntr_H3K27ac_rep_A_peak_23232_lociStitched	chr8	70629723	70680068	9	19463	42455.9385	10043.8275	82	1
5_WTuntr_H3K27ac_rep_A_peak_3348_lociStitched	chr11	51745879	51778691	5	12594	36900.3752	4505.0876	83	1
6_WTuntr_H3K27ac_rep_A_peak_11304_lociStitched	chr18	20921095	20946773	6	15121	35684.7166	3317.5976	84	1
4_WTuntr_H3K27ac_rep_A_peak_24106_lociStitched	chr8	126650694	126668952	4	12974	35836.8024	3573.0906	85	1
9_WTuntr_H3K27ac_rep_A_peak_10619_lociStitched	chr17	45563942	45619904	9	17813	42939.6426	10688.742	86	1
2_WTuntr_H3K27ac_rep_A_peak_24461_lociStitched	chr9	43224769	43240902	2	15838	35742.6615	3510.5408	87	1
6_WTuntr_H3K27ac_rep_A_peak_2275_lociStitched	chr10	80656153	80680347	6	12074	37157.1452	4976.7058	88	1
5_WTuntr_H3K27ac_rep_A_peak_23867_lociStitched	chr8	117645022	117678563	5	17574	37763.8119	5712.0323	89	1
10_WTuntr_H3K27ac_rep_A_peak_11098_lociStitched	chr17	87263446	87318426	10	21024	42114.68	10110.822	90	1
9_WTuntr_H3K27ac_rep_A_peak_15303_lociStitched	chr3	89387883	89430868	9	13091	39825.6025	7836.1655	91	1
5_WTuntr_H3K27ac_rep_A_peak_10150_lociStitched	chr17	24204584	24227369	5	13615	36508.4055	4613.9625	92	1
8_WTuntr_H3K27ac_rep_A_peak_22591_lociStitched	chr7	141413338	141478384	8	17230	44335.3536	12540.8688	93	1
5_WTuntr_H3K27ac_rep_A_peak_15872_lociStitched	chr3	138223526	138243663	5	17134	34454.407	2879.591	94	1
9_WTuntr_H3K27ac_rep_A_peak_18995_lociStitched	chr5	124203053	124250307	9	16423	40539.2066	8982.9854	95	1
6_WTuntr_H3K27ac_rep_A_peak_24446_lociStitched	chr9	42247091	42281073	6	15667	36707.3564	5178.8568	96	1
13_WTuntr_H3K27ac_rep_A_peak_8807_lociStitched	chr15	85612516	85683563	13	14688	43843.1037	12340.8639	97	1
10_WTuntr_H3K27ac_rep_A_peak_6923_lociStitched	chr14	7818016	7855725	10	18670	37724.0836	6278.5485	98	1
17_WTuntr_H3K27ac_rep_A_peak_18256_lociStitched	chr5	66042793	66115683	17	23633	42793.719	11523.909	99	1
10_WTuntr_H3K27ac_rep_A_peak_23046_lociStitched	chr8	45238981	45305518	10	18488	38052.5103	7458.7977	100	1
7_WTuntr_H3K27ac_rep_A_peak_2106_lociStitched	chr10	75494966	75518462	7	15516	35234.6016	4652.208	101	1
7_WTuntr_H3K27ac_rep_A_peak_17957_lociStitched	chr5	28031271	28056557	7	12631	34806.179	4326.4346	102	1
9_WTuntr_H3K27ac_rep_A_peak_20827_lociStitched	chr6	129204165	129242326	9	17555	34386.8771	4079.4109	103	1
7_WTuntr_H3K27ac_rep_A_peak_23875_lociStitched	chr8	117694493	117727417	7	15563	35162.832	5396.2436	104	1
15_WTuntr_H3K27ac_rep_A_peak_21462_lociStitched	chr7	30943378	30989470	15	19287	37721.6928	7992.3528	105	1
7_WTuntr_H3K27ac_rep_A_peak_558_lociStitched	chr1	86037472	86065389	7	13713	34522.1622	4838.0161	106	1
7_WTuntr_H3K27ac_rep_A_peak_21840_lociStitched	chr7	80024415	80059347	7	15120	36063.7968	6472.8996	107	1
9_WTuntr_H3K27ac_rep_A_peak_2765_lociStitched	chr10	121469252	121511207	9	14876	36622.5195	7132.35	108	1
6_WTuntr_H3K27ac_rep_A_peak_21262_lociStitched	chr7	19816019	19843910	6	12543	34487.2215	5218.4061	109	1
10_WTuntr_H3K27ac_rep_A_peak_23002_lociStitched	chr8	40861301	40896813	10	17847	33725.7464	4595.2528	110	1
9_WTuntr_H3K27ac_rep_A_peak_3899_lociStitched	chr11	79745835	79793209	9	13126	36624.8394	7527.7286	111	1
10_WTuntr_H3K27ac_rep_A_peak_16167_lociStitched	chr4	35082937	35136231	10	18286	37241.8472	8287.217	112	1
8_WTuntr_H3K27ac_rep_A_peak_20381_lociStitched	chr6	97261587	97293767	8	16528	33435.02	4633.92	113	1
12_WTuntr_H3K27ac_rep_A_peak_6235_lociStitched	chr13	41196288	41250605	12	16030	36930.1283	8147.55	114	1
8_WTuntr_H3K27ac_rep_A_peak_13612_lociStitched	chr2	72151723	72184378	8	17536	33167.6835	4444.3455	115	1
13_WTuntr_H3K27ac_rep_A_peak_20703_lociStitched	chr6	124662422	124713039	13	18333	38104.4776	9445.1322	116	1
7_WTuntr_H3K27ac_rep_A_peak_4007_lociStitched	chr11	86573725	86615017	7	17240	34821.5436	6226.8336	117	1
7_WTuntr_H3K27ac_rep_A_peak_11217_lociStitched	chr18	12214444	12237144	7	16299	32608.55	4215.39	118	1
12_WTuntr_H3K27ac_rep_A_peak_13839_lociStitched	chr2	103465064	103513569	12	17103	34918.7495	6572.4275	119	1
7_WTuntr_H3K27ac_rep_A_peak_16721_lociStitched	chr4	104803720	104843016	7	16115	33951.744	5776.512	120	1
19_WTuntr_H3K27ac_rep_A_peak_11954_lociStitched	chr19	4000311	4073859	19	18914	39965.9832	11811.8088	121	1
6_WTuntr_H3K27ac_rep_A_peak_11450_lociStitched	chr18	38175544	38212478	6	14715	34954.3376	6806.9362	122	1
7_WTuntr_H3K27ac_rep_A_peak_2674_lociStitched	chr10	111578235	111626636	7	17119	34296.9486	6205.0082	123	1
4_WTuntr_H3K27ac_rep_A_peak_2816_lociStitched	chr10	127350009	127381618	4	12660	33025.0832	5114.3362	124	1
7_WTuntr_H3K27ac_rep_A_peak_23430_lociStitched	chr8	84960229	84990909	7	13730	33514.832	5654.324	125	1
7_WTuntr_H3K27ac_rep_A_peak_7158_lociStitched	chr14	29995193	30022614	7	15712	33025.8524	5188.0532	126	1
7_WTuntr_H3K27ac_rep_A_peak_7612_lociStitched	chr14	65331811	65389039	7	15136	37135.2492	9494.1252	127	1
17_WTuntr_H3K27ac_rep_A_peak_21939_lociStitched	chr7	84107345	84171118	17	16013	36918.1897	9278.9715	128	1
9_WTuntr_H3K27ac_rep_A_peak_15510_lociStitched	chr3	98236292	98284460	9	17006	35104.8384	7538.292	129	1
13_WTuntr_H3K27ac_rep_A_peak_977_lociStitched	chr1	136910369	136967868	13	16637	35873.6261	8314.3554	130	1
7_WTuntr_H3K27ac_rep_A_peak_12741_lociStitched	chr19	47445218	47465782	7	14657	31637.714	4170.3792	131	1
11_WTuntr_H3K27ac_rep_A_peak_25302_lociStitched	chr9	107534056	107599025	11	17440	40033.8978	12577.9984	132	1
10_WTuntr_H3K27ac_rep_A_peak_17105_lociStitched	chr4	128971472	129001540	10	15771	32753.0724	5325.0428	133	1
7_WTuntr_H3K27ac_rep_A_peak_10830_lociStitched	chr17	64600151	64620852	7	12532	30635.4099	3334.9311	134	1
5_WTuntr_H3K27ac_rep_A_peak_15551_lociStitched	chr3	101505869	101529582	5	13662	31794.3904	4593.2081	135	1
9_WTuntr_H3K27ac_rep_A_peak_18429_lociStitched	chr5	90413289	90463247	9	16502	32237.8974	5110.7034	136	1
8_WTuntr_H3K27ac_rep_A_peak_806_lociStitched	chr1	131071900	131097853	8	12352	31545.8715	4546.9656	137	1
5_WTuntr_H3K27ac_rep_A_peak_19563_lociStitched	chr6	6201200	6220998	5	16424	29784.1112	2882.5888	138	1
14_WTuntr_H3K27ac_rep_A_peak_12787_lociStitched	chr19	55095218	55150764	14	18873	35466.121	8676.2852	139	1
8_WTuntr_H3K27ac_rep_A_peak_7198_lociStitched	chr14	31407718	31436440	8	15091	32108.3238	5368.1418	140	1
5_WTuntr_H3K27ac_rep_A_peak_21869_lociStitched	chr7	80445066	80461199	5	12353	29728.2791	3002.3513	141	1
9_WTuntr_H3K27ac_rep_A_peak_19843_lociStitched	chr6	48541828	48602971	9	14142	36844.7718	10259.7954	142	1
9_WTuntr_H3K27ac_rep_A_peak_24124_lociStitched	chr8	126824068	126853016	9	16160	32002.014	5488.5408	143	1
6_WTuntr_H3K27ac_rep_A_peak_12350_lociStitched	chr19	29100889	29135110	6	14123	32725.5423	6252.1767	144	1
10_WTuntr_H3K27ac_rep_A_peak_17792_lociStitched	chr4	155558134	155579706	10	13810	30405.734	3941.2044	145	1
4_WTuntr_H3K27ac_rep_A_peak_10867_lociStitched	chr17	70823316	70854469	4	10642	31732.4458	5296.01	146	1
18_WTuntr_H3K27ac_rep_A_peak_15178_lociStitched	chr3	83002582	83053660	18	17230	33057.6816	6650.3556	147	1
8_WTuntr_H3K27ac_rep_A_peak_18847_lociStitched	chr5	120466708	120518182	8	14130	35877.378	9584.4588	148	1
12_WTuntr_H3K27ac_rep_A_peak_20595_lociStitched	chr6	119387946	119422582	12	19177	31650.3768	5479.4152	149	1
7_WTuntr_H3K27ac_rep_A_peak_3690_lociStitched	chr11	70646378	70713370	7	12596	37897.3744	11797.2912	150	1
12_WTuntr_H3K27ac_rep_A_peak_3911_lociStitched	chr11	80141420	80215597	12	16696	37874.7762	11808.9784	151	1
12_WTuntr_H3K27ac_rep_A_peak_7276_lociStitched	chr14	41095048	41117928	12	17193	28718.976	2731.872	152	1
8_WTuntr_H3K27ac_rep_A_peak_24161_lociStitched	chr8	128462122	128491445	8	19536	29639.6884	3671.2396	153	1
14_WTuntr_H3K27ac_rep_A_peak_7776_lociStitched	chr14	75786543	75846095	14	16010	35004.6656	9135.2768	154	1
13_WTuntr_H3K27ac_rep_A_peak_19700_lociStitched	chr6	31088788	31149511	13	16978	36373.077	10505.079	155	1
11_WTuntr_H3K27ac_rep_A_peak_7690_lociStitched	chr14	70329727	70355440	11	18384	30372.1956	4504.9176	156	1
5_WTuntr_H3K27ac_rep_A_peak_16570_lociStitched	chr4	82486249	82513650	5	11634	29472.5156	3644.333	157	1
10_WTuntr_H3K27ac_rep_A_peak_4408_lociStitched	chr11	102375127	102433682	10	12658	35917.637	10106.593	158	1
7_WTuntr_H3K27ac_rep_A_peak_4481_lociStitched	chr11	106486033	106537017	7	16764	34256.1496	8448.0488	159	1
10_WTuntr_H3K27ac_rep_A_peak_19488_lociStitched	chr5	148955389	149015849	10	16267	36342.506	10725.604	160	1
11_WTuntr_H3K27ac_rep_A_peak_3399_lociStitched	chr11	53758279	53806487	11	12952	34979.7248	9386.0976	161	1
7_WTuntr_H3K27ac_rep_A_peak_2990_lociStitched	chr11	5485570	5523760	7	16530	31976.487	6438.834	162	1
9_WTuntr_H3K27ac_rep_A_peak_20004_lociStitched	chr6	71167105	71203756	9	17666	30336.0327	4947.885	163	1
5_WTuntr_H3K27ac_rep_A_peak_19044_lociStitched	chr5	125388520	125413279	5	10899	29334.4632	3971.3436	164	1
7_WTuntr_H3K27ac_rep_A_peak_18799_lociStitched	chr5	115506700	115543992	7	12838	32932.5652	7693.3396	165	1
8_WTuntr_H3K27ac_rep_A_peak_628_lociStitched	chr1	88253068	88288940	8	11762	54127.2608	29235.68	166	1
8_WTuntr_H3K27ac_rep_A_peak_14489_lociStitched	chr2	163573867	163602850	8	16188	30191.5911	5338.6686	167	1
6_WTuntr_H3K27ac_rep_A_peak_3631_lociStitched	chr11	69394977	69419856	6	10013	29887.1427	5045.4612	168	1
7_WTuntr_H3K27ac_rep_A_peak_17651_lociStitched	chr4	149773137	149801064	7	16114	29705.9499	4864.8834	169	1
5_WTuntr_H3K27ac_rep_A_peak_2582_lociStitched	chr10	95757706	95781135	5	12042	28304.5749	3661.9527	170	1
5_WTuntr_H3K27ac_rep_A_peak_13276_lociStitched	chr2	31453840	31472783	5	12320	28164.4524	3618.113	171	1
3_WTuntr_H3K27ac_rep_A_peak_12301_lociStitched	chr19	23056349	23075051	3	12466	27087.9768	2728.6218	172	1
7_WTuntr_H3K27ac_rep_A_peak_16226_lociStitched	chr4	43378928	43424135	7	11951	32671.0989	8327.1294	173	1
3_WTuntr_H3K27ac_rep_A_peak_20441_lociStitched	chr6	108657952	108669020	3	8284	26215.6648	1978.9584	174	1
2_WTuntr_H3K27ac_rep_A_peak_10498_lociStitched	chr17	34118533	34123104	2	4249	25260.2602	1044.9306	175	1
12_WTuntr_H3K27ac_rep_A_peak_4305_lociStitched	chr11	100814828	100860917	12	12471	31681.5786	7553.9871	176	1
3_WTuntr_H3K27ac_rep_A_peak_21863_lociStitched	chr7	80386501	80404630	3	7015	27547.0155	3439.0713	177	1
4_WTuntr_H3K27ac_rep_A_peak_23800_lociStitched	chr8	111725451	111746345	4	13025	28409.5718	4314.611	178	1
7_WTuntr_H3K27ac_rep_A_peak_21176_lociStitched	chr7	16286367	16320958	7	7573	29616.8142	5586.4465	179	1
1_WTuntr_H3K27ac_rep_A_peak_25571_lociStitched	chrUn_JH584304	58976	60402	1	1427	35410.0042	11431.8142	180	1
4_WTuntr_H3K27ac_rep_A_peak_9669_lociStitched	chr16	38279410	38295950	4	13666	26887.424	2909.386	181	1
11_WTuntr_H3K27ac_rep_A_peak_13218_lociStitched	chr2	30171433	30215498	11	16732	31687.1415	7821.5375	182	1
4_WTuntr_H3K27ac_rep_A_peak_1829_lociStitched	chr10	42268483	42278657	4	8529	25834.8382	1972.7386	183	1
7_WTuntr_H3K27ac_rep_A_peak_15419_lociStitched	chr3	95650392	95676865	7	15754	28508.7737	4680.4264	184	1
5_WTuntr_H3K27ac_rep_A_peak_1323_lociStitched	chr1	178317210	178338915	5	7461	26221.8105	2402.7435	185	1
9_WTuntr_H3K27ac_rep_A_peak_23681_lociStitched	chr8	105798463	105827666	9	14329	28607.2588	4838.9371	186	1
6_WTuntr_H3K27ac_rep_A_peak_19224_lociStitched	chr5	137974382	137987280	6	9650	25329.0924	1591.6132	187	1
7_WTuntr_H3K27ac_rep_A_peak_4263_lociStitched	chr11	98935332	98965495	7	16501	29882.4841	6153.252	188	1
3_WTuntr_H3K27ac_rep_A_peak_24779_lociStitched	chr9	62340975	62349396	3	7329	25253.7369	1534.3062	189	1
3_WTuntr_H3K27ac_rep_A_peak_17713_lociStitched	chr4	150771877	150800997	3	12192	28665.728	4947.488	190	1
6_WTuntr_H3K27ac_rep_A_peak_8515_lociStitched	chr15	76688914	76725148	6	11259	31085.1486	7409.853	191	1
3_WTuntr_H3K27ac_rep_A_peak_11253_lociStitched	chr18	12859478	12869969	3	9765	25427.0367	1754.0952	192	1
6_WTuntr_H3K27ac_rep_A_peak_19085_lociStitched	chr5	130021119	130045266	6	10795	28189.2078	4532.3919	193	1
14_WTuntr_H3K27ac_rep_A_peak_874_lociStitched	chr1	133210372	133310795	14	19508	41695.6296	18066.0977	194	1
12_WTuntr_H3K27ac_rep_A_peak_12623_lociStitched	chr19	43752684	43798072	12	14869	29229.872	5614.4956	195	1
8_WTuntr_H3K27ac_rep_A_peak_9943_lociStitched	chr16	94525450	94571247	8	9327	31196.9164	7670.9975	196	1
5_WTuntr_H3K27ac_rep_A_peak_25087_lociStitched	chr9	78505852	78534322	5	12931	28344.732	4822.818	197	1
10_WTuntr_H3K27ac_rep_A_peak_8240_lociStitched	chr15	55112425	55154516	10	17930	30351.8201	6865.0421	198	1
4_WTuntr_H3K27ac_rep_A_peak_4857_lociStitched	chr11	120571367	120582436	4	9405	25871.5737	2388.6902	199	1
9_WTuntr_H3K27ac_rep_A_peak_2529_lociStitched	chr10	94035408	94081356	9	13012	30151.0776	6758.9508	200	1
7_WTuntr_H3K27ac_rep_A_peak_11726_lociStitched	chr18	65218195	65247215	7	13223	27885.318	4515.512	201	1
7_WTuntr_H3K27ac_rep_A_peak_21804_lociStitched	chr7	73575995	73619553	7	9963	29423.429	6154.7454	202	1
5_WTuntr_H3K27ac_rep_A_peak_16827_lociStitched	chr4	108114266	108137947	5	15722	26430.3641	3260.8737	203	1
3_WTuntr_H3K27ac_rep_A_peak_23459_lociStitched	chr8	85476169	85496084	3	10551	26068.735	2977.2925	204	1
6_WTuntr_H3K27ac_rep_A_peak_24283_lociStitched	chr9	21705899	21737509	6	12368	28717.685	5632.902	205	1
6_WTuntr_H3K27ac_rep_A_peak_16747_lociStitched	chr4	105185364	105224665	6	16009	30218.5389	7172.4325	206	1
5_WTuntr_H3K27ac_rep_A_peak_20230_lociStitched	chr6	88724197	88745634	5	11728	27510.1021	4471.7582	207	1
6_WTuntr_H3K27ac_rep_A_peak_3450_lociStitched	chr11	57962267	58011588	6	10465	30736.8472	7763.1254	208	1
4_WTuntr_H3K27ac_rep_A_peak_20664_lociStitched	chr6	121299734	121311978	4	10841	25109.9952	2152.4952	209	1
11_WTuntr_H3K27ac_rep_A_peak_7040_lociStitched	chr14	21095083	21116556	11	15323	25591.5214	2752.8386	210	1
