PeakID (cmd=annotatePeaks.pl overlapped_H3K9me3.bed /media/dimbo/10T/data/talianidis_data/genomes/mm10/hisat_index/mm10.fa -gtf /media/dimbo/10T/data/talianidis_data/genomes/mm10/genes_info/mm10_GENES_GENCODE.VM23.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
H3K9me3_i71_peak_114	chr1	53697061	53697507	+	69	NA	TTS (ENSMUST00000189677.1)	-TTS (ENSMUST00000189677.1)	9477	ENSMUST00000094964.6	ENSMUST00000094964	ENSMUST00000094964						NA
H3K9me3_i71_peak_4593	chr7	133688241	133688806	+	69	NA	intron (ENSMUST00000144789.1, intron 5 of 5)	-intron (ENSMUST00000033276.10, intron 9 of 9)	-8462	ENSMUST00000131894.1	ENSMUST00000131894	ENSMUST00000131894						NA
H3K9me3_i71_peak_82	chr1	35117703	35118721	+	69	NA	Intergenic	Intergenic	60872	ENSMUST00000104043.1	ENSMUST00000104043	ENSMUST00000104043						NA
H3K9me3_i71_peak_1745	chr15	52918696	52919207	+	69	NA	Intergenic	Intergenic	-132684	ENSMUST00000228167.1	ENSMUST00000228167	ENSMUST00000228167						NA
H3K9me3_i71_peak_3592	chr5	18655860	18656180	+	69	NA	Intergenic	Intergenic	-158184	ENSMUST00000198410.1	ENSMUST00000198410	ENSMUST00000198410						NA
H3K9me3_i71_peak_5184	chr9	124159286	124159621	+	69	NA	Intergenic	Intergenic	30705	ENSMUST00000097855.3	ENSMUST00000097855	ENSMUST00000097855						NA
H3K9me3_i71_peak_2636	chr18	90591471	90593160	+	68	NA	exon (ENSMUST00000209969.2, exon 3 of 3)	-exon (ENSMUST00000209969.2, exon 3 of 3)	6843	ENSMUST00000210329.1	ENSMUST00000210329	ENSMUST00000210329						NA
H3K9me3_i71_peak_932	chr12	3018303	3018829	+	68	NA	Intergenic	Intergenic	-5317	ENSMUST00000165915.1	ENSMUST00000165915	ENSMUST00000165915						NA
H3K9me3_i71_peak_4138	chr6	128776860	128779650	+	68	NA	TTS (ENSMUST00000167691.8)	-TTS (ENSMUST00000167691.8)	10231	ENSMUST00000172601.7	ENSMUST00000172601	ENSMUST00000172601						NA
H3K9me3_i71_peak_4419	chr7	41468834	41469175	+	68	NA	intron (ENSMUST00000094532.3, intron 1 of 7)	-intron (ENSMUST00000094532.3, intron 1 of 7)	-1138	ENSMUST00000206469.1	ENSMUST00000206469	ENSMUST00000206469						NA
H3K9me3_i71_peak_1436	chr13	67143894	67144928	+	68	NA	exon (ENSMUST00000223605.1, exon 2 of 2)	-exon (ENSMUST00000223605.1, exon 2 of 2)	955	ENSMUST00000223605.1	ENSMUST00000223605	ENSMUST00000223605						NA
H3K9me3_i71_peak_1117	chr12	44772278	44772590	+	68	NA	Intergenic	Intergenic	-149772	ENSMUST00000217983.1	ENSMUST00000217983	ENSMUST00000217983						NA
H3K9me3_i71_peak_5044	chr9	46572227	46572626	+	68	NA	Intergenic	Intergenic	9452	ENSMUST00000104195.1	ENSMUST00000104195	ENSMUST00000104195						NA
H3K9me3_i71_peak_4718	chr8	69221696	69222453	+	68	NA	intron (ENSMUST00000212681.1, intron 1 of 3)	-intron (ENSMUST00000212312.1, intron 1 of 2)	3718	ENSMUST00000212090.1	ENSMUST00000212090	ENSMUST00000212090						NA
H3K9me3_i71_peak_1436-2	chr13	67143894	67144928	+	68	NA	exon (ENSMUST00000223605.1, exon 2 of 2)	-exon (ENSMUST00000223605.1, exon 2 of 2)	955	ENSMUST00000223605.1	ENSMUST00000223605	ENSMUST00000223605						NA
H3K9me3_i71_peak_5169	chr9	121210390	121211028	+	67	NA	intron (ENSMUST00000171923.7, intron 17 of 36)	-intron (ENSMUST00000051479.12, intron 17 of 33)	-17652	ENSMUST00000164969.1	ENSMUST00000164969	ENSMUST00000164969						NA
H3K9me3_i71_peak_787	chr11	50906286	50906692	+	67	NA	intron (ENSMUST00000151027.1, intron 4 of 4)	-intron (ENSMUST00000109128.7, intron 4 of 6)	4321	ENSMUST00000109129.7	ENSMUST00000109129	ENSMUST00000109129						NA
H3K9me3_i71_peak_4103	chr6	116505306	116505566	+	67	NA	Intergenic	Intergenic	-1080	ENSMUST00000075756.2	ENSMUST00000075756	ENSMUST00000075756						NA
H3K9me3_i71_peak_3927	chr5	138605474	138607057	+	67	NA	promoter-TSS (ENSMUST00000175175.1)	-promoter-TSS (ENSMUST00000175175.1)	-434	ENSMUST00000175175.1	ENSMUST00000175175	ENSMUST00000175175						NA
H3K9me3_i71_peak_1827	chr16	13544895	13546258	+	67	NA	intron (ENSMUST00000231003.1, intron 23 of 23)	-intron (ENSMUST00000058884.9, intron 22 of 23)	-14025	ENSMUST00000104300.1	ENSMUST00000104300	ENSMUST00000104300						NA
H3K9me3_i71_peak_1931	chr16	98059760	98060156	+	67	NA	intron (ENSMUST00000232614.1, intron 4 of 4)	-intron (ENSMUST00000232346.1, intron 3 of 3)	21999	ENSMUST00000232376.1	ENSMUST00000232376	ENSMUST00000232376						NA
H3K9me3_i71_peak_952	chr12	17891910	17892326	+	67	NA	Intergenic	Intergenic	3354	ENSMUST00000222538.1	ENSMUST00000222538	ENSMUST00000222538						NA
H3K9me3_i71_peak_3584	chr5	8763626	8764757	+	66	NA	Intergenic	Intergenic	-28423	ENSMUST00000199172.1	ENSMUST00000199172	ENSMUST00000199172						NA
H3K9me3_i71_peak_232	chr1	133578076	133578635	+	66	NA	Intergenic	Intergenic	-22868	ENSMUST00000082880.1	ENSMUST00000082880	ENSMUST00000082880						NA
H3K9me3_i71_peak_895	chr11	114978850	114979284	+	66	NA	Intergenic	Intergenic	-9910	ENSMUST00000106580.2	ENSMUST00000106580	ENSMUST00000106580						NA
H3K9me3_i71_peak_3027	chr3	14230897	14231383	+	66	NA	Intergenic	Intergenic	36299	ENSMUST00000158606.1	ENSMUST00000158606	ENSMUST00000158606						NA
H3K9me3_i71_peak_4792	chr8	85153715	85155280	+	66	NA	intron (ENSMUST00000211617.1, intron 1 of 1)	-intron (ENSMUST00000211617.1, intron 1 of 1)	2573	ENSMUST00000211617.1	ENSMUST00000211617	ENSMUST00000211617						NA
H3K9me3_i71_peak_191	chr1	111777268	111777599	+	66	NA	Intergenic	Intergenic	30342	ENSMUST00000186797.1	ENSMUST00000186797	ENSMUST00000186797						NA
