PeakID (cmd=annotatePeaks.pl overlapped_H3K27ac.bed /media/dimbo/10T/data/talianidis_data/genomes/mm10/hisat_index/mm10.fa -gtf /media/dimbo/10T/data/talianidis_data/genomes/mm10/genes_info/mm10_GENES_GENCODE.VM23.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
H3K27ac_i73_peak_70	chr1	55171909	55172475	+	105	NA	intron (ENSMUST00000132055.7, intron 7 of 7)	-intron (ENSMUST00000027121.14, intron 8 of 8)	-11139	ENSMUST00000161440.1	ENSMUST00000161440	ENSMUST00000161440						NA
H3K27ac_i73_peak_2650	chr13	69525977	69526360	+	105	NA	intron (ENSMUST00000198607.4, intron 1 of 12)	-intron (ENSMUST00000044081.8, intron 1 of 12)	6264	ENSMUST00000223344.2	ENSMUST00000223344	ENSMUST00000223344						NA
H3K27ac_i73_peak_210	chr1	87900920	87901697	+	104	NA	TTS (ENSMUST00000195720.1)	-TTS (ENSMUST00000195720.1)	3768	ENSMUST00000195720.1	ENSMUST00000195720	ENSMUST00000195720						NA
H3K27ac_i73_peak_2906	chr14	31435117	31436313	+	104	NA	intron (ENSMUST00000140002.7, intron 1 of 10)	-intron (ENSMUST00000091903.4, intron 1 of 8)	350	ENSMUST00000091903.4	ENSMUST00000091903	ENSMUST00000091903						NA
H3K27ac_i73_peak_5548	chr2	65119102	65119469	+	103	NA	intron (ENSMUST00000112431.7, intron 7 of 14)	-intron (ENSMUST00000090896.9, intron 6 of 12)	-13426	ENSMUST00000155768.1	ENSMUST00000155768	ENSMUST00000155768						NA
H3K27ac_i73_peak_260	chr1	91454346	91454934	+	102	NA	intron (ENSMUST00000069620.9, intron 1 of 22)	-intron (ENSMUST00000069620.9, intron 1 of 22)	4684	ENSMUST00000069620.9	ENSMUST00000069620	ENSMUST00000069620						NA
H3K27ac_i73_peak_4682	chr18	35677023	35677376	+	101	NA	intron (ENSMUST00000235930.1, intron 3 of 3)	-intron (ENSMUST00000025208.6, intron 7 of 7)	9544	ENSMUST00000235930.1	ENSMUST00000235930	ENSMUST00000235930						NA
H3K27ac_i73_peak_9823	chr9	21688591	21689042	+	100	NA	intron (ENSMUST00000174008.7, intron 29 of 33)	-intron (ENSMUST00000034707.14, intron 29 of 33)	10903	ENSMUST00000184017.1	ENSMUST00000184017	ENSMUST00000184017						NA
H3K27ac_i73_peak_583	chr1	181211951	181212688	+	99	NA	promoter-TSS (ENSMUST00000036329.11)	-promoter-TSS (ENSMUST00000036329.11)	-318	ENSMUST00000237749.1	ENSMUST00000237749	ENSMUST00000237749						NA
H3K27ac_i73_peak_1328	chr11	43891439	43891772	+	99	NA	intron (ENSMUST00000067258.8, intron 1 of 4)	-intron (ENSMUST00000067258.8, intron 1 of 4)	9605	ENSMUST00000139906.1	ENSMUST00000139906	ENSMUST00000139906						NA
H3K27ac_i73_peak_3583	chr15	85668858	85669428	+	99	NA	intron (ENSMUST00000230913.1, intron 1 of 6)	-intron (ENSMUST00000230913.1, intron 1 of 6)	15527	ENSMUST00000230913.1	ENSMUST00000230913	ENSMUST00000230913						NA
H3K27ac_i73_peak_8196	chr6	114888901	114889403	+	99	NA	intron (ENSMUST00000147639.7, intron 3 of 5)	-intron (ENSMUST00000032459.13, intron 2 of 4)	-14045	ENSMUST00000152710.7	ENSMUST00000152710	ENSMUST00000152710						NA
H3K27ac_i73_peak_10077	chr9	66594105	66594485	+	99	NA	Intergenic	Intergenic	-1153	ENSMUST00000127569.7	ENSMUST00000127569	ENSMUST00000127569						NA
H3K27ac_i73_peak_8321	chr6	129232830	129233173	+	99	NA	intron (ENSMUST00000204328.1, intron 2 of 2)	-intron (ENSMUST00000180379.3, intron 3 of 3)	973	ENSMUST00000181517.7	ENSMUST00000181517	ENSMUST00000181517						NA
H3K27ac_i73_peak_2633	chr13	63814848	63815136	+	98	NA	promoter-TSS (ENSMUST00000021925.13)	-promoter-TSS (ENSMUST00000021925.13)	-248	ENSMUST00000021926.12	ENSMUST00000021926	ENSMUST00000021926						NA
H3K27ac_i73_peak_6437	chr3	127005831	127006554	+	98	NA	TTS (ENSMUST00000104429.1)	-TTS (ENSMUST00000104429.1)	823	ENSMUST00000104429.1	ENSMUST00000104429	ENSMUST00000104429						NA
H3K27ac_i73_peak_8028	chr6	85849214	85849809	+	97	NA	Intergenic	Intergenic	5531	ENSMUST00000160012.1	ENSMUST00000160012	ENSMUST00000160012						NA
H3K27ac_i73_peak_5953	chr2	165883916	165884202	+	97	NA	intron (ENSMUST00000018050.13, intron 1 of 23)	-intron (ENSMUST00000018050.13, intron 1 of 23)	151	ENSMUST00000150564.1	ENSMUST00000150564	ENSMUST00000150564						NA
H3K27ac_i73_peak_2019	chr11	120349186	120349874	+	96	NA	promoter-TSS (ENSMUST00000071555.12)	-promoter-TSS (ENSMUST00000071555.12)	852	ENSMUST00000143813.1	ENSMUST00000143813	ENSMUST00000143813						NA
H3K27ac_i73_peak_7405	chr5	92712887	92713317	+	95	NA	intron (ENSMUST00000168878.7, intron 1 of 11)	-intron (ENSMUST00000113055.8, intron 1 of 10)	-23103	ENSMUST00000174621.1	ENSMUST00000174621	ENSMUST00000174621						NA
H3K27ac_i73_peak_1385	chr11	51876833	51877489	+	95	NA	Intergenic	Intergenic	-19508	ENSMUST00000020655.13	ENSMUST00000020655	ENSMUST00000020655						NA
H3K27ac_i73_peak_486	chr1	164151522	164152057	+	95	NA	promoter-TSS (ENSMUST00000086040.5)	-promoter-TSS (ENSMUST00000086040.5)	-49	ENSMUST00000086040.5	ENSMUST00000086040	ENSMUST00000086040						NA
H3K27ac_i73_peak_9119	chr7	140906474	140906874	+	94	NA	exon (ENSMUST00000209406.1, exon 1 of 3)	-exon (ENSMUST00000209406.1, exon 1 of 3)	591	ENSMUST00000209496.1	ENSMUST00000209496	ENSMUST00000209496						NA
H3K27ac_i73_peak_19	chr1	21218518	21218867	+	94	NA	promoter-TSS (ENSMUST00000027064.7)	-promoter-TSS (ENSMUST00000027064.7)	30	ENSMUST00000027064.7	ENSMUST00000027064	ENSMUST00000027064						NA
H3K27ac_i73_peak_9787	chr8	126919301	126920007	+	94	NA	Intergenic	Intergenic	-11439	ENSMUST00000212639.1	ENSMUST00000212639	ENSMUST00000212639						NA
H3K27ac_i73_peak_2663	chr13	73767734	73768176	+	94	NA	intron (ENSMUST00000220535.1, intron 1 of 6)	-intron (ENSMUST00000017900.8, intron 1 of 23)	4216	ENSMUST00000220522.1	ENSMUST00000220522	ENSMUST00000220522						NA
H3K27ac_i73_peak_5031	chr19	10656446	10656930	+	92	NA	exon (ENSMUST00000055115.8, exon 15 of 20)	-exon (ENSMUST00000055115.8, exon 15 of 20)	-1301	ENSMUST00000235831.1	ENSMUST00000235831	ENSMUST00000235831						NA
H3K27ac_i73_peak_9007	chr7	119526086	119526351	+	92	NA	promoter-TSS (ENSMUST00000066465.2)	-promoter-TSS (ENSMUST00000066465.2)	10	ENSMUST00000066465.2	ENSMUST00000066465	ENSMUST00000066465						NA
H3K27ac_i73_peak_7853	chr6	38550760	38551176	+	92	NA	promoter-TSS (ENSMUST00000057692.10)	-promoter-TSS (ENSMUST00000057692.10)	-366	ENSMUST00000163047.7	ENSMUST00000163047	ENSMUST00000163047						NA
H3K27ac_i73_peak_181	chr1	86038419	86038985	+	91	NA	Intergenic	Intergenic	-7161	ENSMUST00000027429.10	ENSMUST00000027429	ENSMUST00000027429						NA
H3K27ac_i73_peak_3807	chr16	18412654	18413600	+	90	NA	intron (ENSMUST00000115609.9, intron 1 of 4)	-intron (ENSMUST00000000335.11, intron 2 of 5)	367	ENSMUST00000147720.2	ENSMUST00000147720	ENSMUST00000147720						NA
H3K27ac_i73_peak_10286	chr9	109092717	109093127	+	90	NA	TTS (ENSMUST00000026735.8)	-TTS (ENSMUST00000026735.8)	-2467	ENSMUST00000072093.12	ENSMUST00000072093	ENSMUST00000072093						NA
H3K27ac_i73_peak_5362	chr2	27595958	27596675	+	90	NA	Intergenic	Intergenic	55887	ENSMUST00000132898.1	ENSMUST00000132898	ENSMUST00000132898						NA
H3K27ac_i73_peak_5532	chr2	58535263	58535523	+	89	NA	intron (ENSMUST00000112601.8, intron 2 of 11)	-intron (ENSMUST00000056376.11, intron 2 of 10)	3045	ENSMUST00000126407.1	ENSMUST00000126407	ENSMUST00000126407						NA
H3K27ac_i73_peak_6181	chr3	79379312	79379658	+	89	NA	intron (ENSMUST00000199658.1, intron 1 of 3)	-intron (ENSMUST00000164216.5, intron 1 of 4)	34106	ENSMUST00000199658.1	ENSMUST00000199658	ENSMUST00000199658						NA
H3K27ac_i73_peak_1979	chr11	117962085	117962687	+	89	NA	Intergenic	Intergenic	6800	ENSMUST00000054002.3	ENSMUST00000054002	ENSMUST00000054002						NA
H3K27ac_i73_peak_5946	chr2	165857412	165858399	+	89	NA	exon (ENSMUST00000155786.1, exon 1 of 2)	-exon (ENSMUST00000155786.1, exon 1 of 2)	221	ENSMUST00000155786.1	ENSMUST00000155786	ENSMUST00000155786						NA
H3K27ac_i73_peak_9853	chr9	31279686	31280202	+	89	NA	promoter-TSS (ENSMUST00000117389.7)	-promoter-TSS (ENSMUST00000117389.7)	-594	ENSMUST00000117389.7	ENSMUST00000117389	ENSMUST00000117389						NA
H3K27ac_i73_peak_9358	chr8	56278234	56278698	+	89	NA	Intergenic	Intergenic	-16119	ENSMUST00000034026.9	ENSMUST00000034026	ENSMUST00000034026						NA
H3K27ac_i73_peak_3201	chr15	34510881	34511317	+	89	NA	intron (ENSMUST00000079028.5, intron 9 of 15)	-intron (ENSMUST00000052290.13, intron 9 of 16)	1192	ENSMUST00000126223.1	ENSMUST00000126223	ENSMUST00000126223						NA
H3K27ac_i73_peak_387	chr1	133917673	133918252	+	88	NA	intron (ENSMUST00000048432.5, intron 1 of 2)	-intron (ENSMUST00000048432.5, intron 1 of 2)	3449	ENSMUST00000127583.1	ENSMUST00000127583	ENSMUST00000127583						NA
H3K27ac_i73_peak_6165	chr3	60098607	60099094	+	88	NA	Intergenic	Intergenic	16948	ENSMUST00000195544.1	ENSMUST00000195544	ENSMUST00000195544						NA
H3K27ac_i73_peak_715	chr10	19594460	19594874	+	88	NA	intron (ENSMUST00000172253.1, intron 1 of 2)	-intron (ENSMUST00000020188.12, intron 1 of 6)	2594	ENSMUST00000164591.2	ENSMUST00000164591	ENSMUST00000164591						NA
H3K27ac_i73_peak_7175	chr4	155577126	155577622	+	88	NA	TTS (ENSMUST00000143840.1)	-TTS (ENSMUST00000143840.1)	-5121	ENSMUST00000105612.1	ENSMUST00000105612	ENSMUST00000105612						NA
H3K27ac_i73_peak_5157	chr19	44416215	44416596	+	88	NA	Intergenic	Intergenic	-3205	ENSMUST00000237516.1	ENSMUST00000237516	ENSMUST00000237516						NA
H3K27ac_i73_peak_7258	chr5	34528755	34529264	+	88	NA	intron (ENSMUST00000125817.7, intron 2 of 2)	-intron (ENSMUST00000067638.13, intron 1 of 12)	-1640	ENSMUST00000157707.1	ENSMUST00000157707	ENSMUST00000157707						NA
H3K27ac_i73_peak_7939	chr6	67101980	67102307	+	88	NA	Intergenic	Intergenic	-13530	ENSMUST00000181304.3	ENSMUST00000181304	ENSMUST00000181304						NA
H3K27ac_i73_peak_7324	chr5	64346500	64346864	+	88	NA	intron (ENSMUST00000140960.2, intron 8 of 8)	-intron (ENSMUST00000043893.12, intron 21 of 21)	-13832	ENSMUST00000196357.1	ENSMUST00000196357	ENSMUST00000196357						NA
H3K27ac_i73_peak_636	chr1	190172942	190173455	+	88	NA	intron (ENSMUST00000110279.3, intron 1 of 1)	-intron (ENSMUST00000110279.3, intron 1 of 1)	-2484	ENSMUST00000175916.7	ENSMUST00000175916	ENSMUST00000175916						NA
H3K27ac_i73_peak_7395	chr5	92504573	92505001	+	87	NA	TTS (ENSMUST00000201253.1)	-TTS (ENSMUST00000201253.1)	850	ENSMUST00000031377.8	ENSMUST00000031377	ENSMUST00000031377						NA
H3K27ac_i73_peak_8705	chr7	63896278	63898477	+	87	NA	promoter-TSS (ENSMUST00000184360.1)	-promoter-TSS (ENSMUST00000184360.1)	-597	ENSMUST00000184360.1	ENSMUST00000184360	ENSMUST00000184360						NA
H3K27ac_i73_peak_7607	chr5	125392722	125393691	+	87	NA	Intergenic	Intergenic	-3004	ENSMUST00000156249.1	ENSMUST00000156249	ENSMUST00000156249						NA
H3K27ac_i73_peak_3412	chr15	77823161	77823611	+	87	NA	intron (ENSMUST00000134878.1, intron 1 of 2)	-intron (ENSMUST00000016771.12, intron 1 of 40)	-10155	ENSMUST00000124844.7	ENSMUST00000124844	ENSMUST00000124844						NA
H3K27ac_i73_peak_2351	chr12	108851257	108852079	+	87	NA	intron (ENSMUST00000221080.1, intron 1 of 4)	-intron (ENSMUST00000057026.9, intron 1 of 5)	529	ENSMUST00000221080.1	ENSMUST00000221080	ENSMUST00000221080						NA
H3K27ac_i73_peak_8494	chr7	24530136	24530475	+	87	NA	promoter-TSS (ENSMUST00000049020.8)	-promoter-TSS (ENSMUST00000049020.8)	-384	ENSMUST00000049020.8	ENSMUST00000049020	ENSMUST00000049020						NA
H3K27ac_i73_peak_1827	chr11	106515161	106515436	+	87	NA	intron (ENSMUST00000042780.13, intron 8 of 11)	-intron (ENSMUST00000042780.13, intron 8 of 11)	14053	ENSMUST00000116890.2	ENSMUST00000116890	ENSMUST00000116890						NA
H3K27ac_i73_peak_9380	chr8	70543419	70544607	+	87	NA	intron (ENSMUST00000093454.7, intron 1 of 11)	-intron (ENSMUST00000093454.7, intron 1 of 11)	4325	ENSMUST00000093454.7	ENSMUST00000093454	ENSMUST00000093454						NA
H3K27ac_i73_peak_3271	chr15	59003547	59004732	+	87	NA	intron (ENSMUST00000080371.7, intron 3 of 14)	-intron (ENSMUST00000080371.7, intron 3 of 14)	20003	ENSMUST00000226216.1	ENSMUST00000226216	ENSMUST00000226216						NA
H3K27ac_i73_peak_4856	chr18	75447312	75447637	+	86	NA	intron (ENSMUST00000165559.2, intron 10 of 11)	-intron (ENSMUST00000165559.2, intron 10 of 11)	-67171	ENSMUST00000181913.1	ENSMUST00000181913	ENSMUST00000181913						NA
H3K27ac_i73_peak_4013	chr16	90196430	90196847	+	86	NA	Intergenic	Intergenic	-1510	ENSMUST00000231225.1	ENSMUST00000231225	ENSMUST00000231225						NA
H3K27ac_i73_peak_4789	chr18	60732279	60732631	+	86	NA	intron (ENSMUST00000237783.1, intron 1 of 14)	-intron (ENSMUST00000237070.1, intron 1 of 1)	695	ENSMUST00000237885.1	ENSMUST00000237885	ENSMUST00000237885						NA
H3K27ac_i73_peak_3901	chr16	30968637	30969064	+	86	NA	TTS (ENSMUST00000123905.1)	-TTS (ENSMUST00000123905.1)	4668	ENSMUST00000123905.1	ENSMUST00000123905	ENSMUST00000123905						NA
H3K27ac_i73_peak_3510	chr15	81831375	81831880	+	86	NA	Intergenic	Intergenic	10684	ENSMUST00000168632.1	ENSMUST00000168632	ENSMUST00000168632						NA
H3K27ac_i73_peak_6345	chr3	102678699	102679035	+	85	NA	Intergenic	Intergenic	7850	ENSMUST00000198096.1	ENSMUST00000198096	ENSMUST00000198096						NA
H3K27ac_i73_peak_1181	chr10	128303761	128304456	+	85	NA	exon (ENSMUST00000005825.7, exon 2 of 26)	-exon (ENSMUST00000005825.7, exon 2 of 26)	710	ENSMUST00000219255.1	ENSMUST00000219255	ENSMUST00000219255						NA
H3K27ac_i73_peak_8237	chr6	121063780	121064130	+	85	NA	promoter-TSS (ENSMUST00000181738.1)	-promoter-TSS (ENSMUST00000181738.1)	-509	ENSMUST00000181738.1	ENSMUST00000181738	ENSMUST00000181738						NA
H3K27ac_i73_peak_7503	chr5	115523061	115523361	+	85	NA	intron (ENSMUST00000125007.7, intron 1 of 10)	-intron (ENSMUST00000067268.14, intron 1 of 10)	2906	ENSMUST00000125007.7	ENSMUST00000125007	ENSMUST00000125007						NA
H3K27ac_i73_peak_4660	chr18	31931277	31932460	+	85	NA	intron (ENSMUST00000025254.8, intron 1 of 9)	-intron (ENSMUST00000025254.8, intron 1 of 9)	522	ENSMUST00000225404.1	ENSMUST00000225404	ENSMUST00000225404						NA
H3K27ac_i73_peak_2449	chr13	24879544	24879968	+	85	NA	promoter-TSS (ENSMUST00000169411.1)	-promoter-TSS (ENSMUST00000169411.1)	-769	ENSMUST00000169411.1	ENSMUST00000169411	ENSMUST00000169411						NA
H3K27ac_i73_peak_8865	chr7	90019597	90019939	+	85	NA	intron (ENSMUST00000207458.1, intron 7 of 8)	-intron (ENSMUST00000207458.1, intron 7 of 8)	-9391	ENSMUST00000208362.1	ENSMUST00000208362	ENSMUST00000208362						NA
H3K27ac_i73_peak_6007	chr2	167805238	167806322	+	85	NA	Intergenic	Intergenic	23727	ENSMUST00000124850.1	ENSMUST00000124850	ENSMUST00000124850						NA
H3K27ac_i73_peak_5745	chr2	131211088	131211431	+	85	NA	intron (ENSMUST00000153901.1, intron 1 of 1)	-intron (ENSMUST00000089506.11, intron 1 of 3)	655	ENSMUST00000110206.1	ENSMUST00000110206	ENSMUST00000110206						NA
H3K27ac_i73_peak_6652	chr4	57798338	57798745	+	85	NA	intron (ENSMUST00000124581.1, intron 1 of 1)	-intron (ENSMUST00000098065.3, intron 2 of 2)	16361	ENSMUST00000124581.1	ENSMUST00000124581	ENSMUST00000124581						NA
H3K27ac_i73_peak_4014	chr16	90197671	90198047	+	85	NA	promoter-TSS (ENSMUST00000231225.1)	-promoter-TSS (ENSMUST00000231225.1)	-289	ENSMUST00000231225.1	ENSMUST00000231225	ENSMUST00000231225						NA
H3K27ac_i73_peak_1377	chr11	51768380	51768819	+	85	NA	intron (ENSMUST00000136363.1, intron 1 of 4)	-intron (ENSMUST00000020653.5, intron 1 of 6)	4905	ENSMUST00000136363.1	ENSMUST00000136363	ENSMUST00000136363						NA
H3K27ac_i73_peak_610	chr1	184851839	184852686	+	85	NA	Intergenic	Intergenic	-5811	ENSMUST00000161821.3	ENSMUST00000161821	ENSMUST00000161821						NA
H3K27ac_i73_peak_7365	chr5	87340058	87340858	+	84	NA	Intergenic	Intergenic	-3263	ENSMUST00000031195.2	ENSMUST00000031195	ENSMUST00000031195						NA
H3K27ac_i73_peak_3847	chr16	23517689	23518430	+	84	NA	intron (ENSMUST00000230040.1, intron 1 of 8)	-intron (ENSMUST00000089883.6, intron 1 of 15)	-2151	ENSMUST00000211460.1	ENSMUST00000211460	ENSMUST00000211460						NA
H3K27ac_i73_peak_1010	chr10	89635084	89635359	+	84	NA	Intergenic	Intergenic	-13968	ENSMUST00000020102.13	ENSMUST00000020102	ENSMUST00000020102						NA
H3K27ac_i73_peak_9915	chr9	43755941	43756407	+	84	NA	intron (ENSMUST00000034510.8, intron 1 of 5)	-intron (ENSMUST00000034510.8, intron 1 of 5)	-10074	ENSMUST00000216604.1	ENSMUST00000216604	ENSMUST00000216604						NA
H3K27ac_i73_peak_7344	chr5	66082292	66082647	+	83	NA	promoter-TSS (ENSMUST00000201311.3)	-promoter-TSS (ENSMUST00000201311.3)	-479	ENSMUST00000201311.3	ENSMUST00000201311	ENSMUST00000201311						NA
H3K27ac_i73_peak_9242	chr8	14992730	14993396	+	83	NA	intron (ENSMUST00000163062.1, intron 17 of 18)	-intron (ENSMUST00000084207.11, intron 27 of 28)	2704	ENSMUST00000162444.1	ENSMUST00000162444	ENSMUST00000162444						NA
H3K27ac_i73_peak_9873	chr9	35128525	35130200	+	83	NA	intron (ENSMUST00000093873.8, intron 5 of 5)	-intron (ENSMUST00000034539.11, intron 4 of 5)	-10094	ENSMUST00000215089.1	ENSMUST00000215089	ENSMUST00000215089						NA
H3K27ac_i73_peak_6233	chr3	89294250	89294660	+	83	NA	Intergenic	Intergenic	-8023	ENSMUST00000175352.2	ENSMUST00000175352	ENSMUST00000175352						NA
H3K27ac_i73_peak_5803	chr2	152359593	152359918	+	83	NA	intron (ENSMUST00000128577.1, intron 1 of 4)	-intron (ENSMUST00000128577.1, intron 1 of 4)	6140	ENSMUST00000121456.1	ENSMUST00000121456	ENSMUST00000121456						NA
H3K27ac_i73_peak_2621	chr13	63258221	63258599	+	82	NA	intron (ENSMUST00000221820.1, intron 2 of 3)	-intron (ENSMUST00000021911.14, intron 12 of 15)	-2846	ENSMUST00000221520.1	ENSMUST00000221520	ENSMUST00000221520						NA
H3K27ac_i73_peak_8710	chr7	63905190	63905899	+	82	NA	intron (ENSMUST00000063694.9, intron 1 of 1)	-intron (ENSMUST00000063694.9, intron 1 of 1)	7570	ENSMUST00000184360.1	ENSMUST00000184360	ENSMUST00000184360						NA
H3K27ac_i73_peak_10033	chr9	63098915	63099213	+	82	NA	Intergenic	Intergenic	-16091	ENSMUST00000214934.1	ENSMUST00000214934	ENSMUST00000214934						NA
H3K27ac_i73_peak_2664	chr13	73768885	73770799	+	82	NA	intron (ENSMUST00000220535.1, intron 1 of 6)	-intron (ENSMUST00000017900.8, intron 1 of 23)	6103	ENSMUST00000220522.1	ENSMUST00000220522	ENSMUST00000220522						NA
H3K27ac_i73_peak_6016	chr2	167830763	167831477	+	82	NA	intron (ENSMUST00000143649.1, intron 1 of 1)	-intron (ENSMUST00000143649.1, intron 1 of 1)	2526	ENSMUST00000143649.1	ENSMUST00000143649	ENSMUST00000143649						NA
H3K27ac_i73_peak_4986	chr19	6291137	6291841	+	82	NA	intron (ENSMUST00000025684.3, intron 2 of 4)	-intron (ENSMUST00000025684.3, intron 2 of 4)	-2692	ENSMUST00000171203.1	ENSMUST00000171203	ENSMUST00000171203						NA
H3K27ac_i73_peak_3050	chr14	70051673	70051970	+	81	NA	intron (ENSMUST00000022678.4, intron 6 of 6)	-intron (ENSMUST00000022678.4, intron 6 of 6)	5546	ENSMUST00000224990.1	ENSMUST00000224990	ENSMUST00000224990						NA
H3K27ac_i73_peak_3203	chr15	36419475	36420267	+	81	NA	Intergenic	Intergenic	16820	ENSMUST00000227487.1	ENSMUST00000227487	ENSMUST00000227487						NA
H3K27ac_i73_peak_7678-2	chr5	139378927	139380525	+	81	NA	promoter-TSS (ENSMUST00000051293.7)	-promoter-TSS (ENSMUST00000051293.7)	-855	ENSMUST00000051293.7	ENSMUST00000051293	ENSMUST00000051293						NA
H3K27ac_i73_peak_4235	chr17	31937011	31937636	+	81	NA	Intergenic	Intergenic	-13211	ENSMUST00000171455.2	ENSMUST00000171455	ENSMUST00000171455						NA
H3K27ac_i73_peak_7678	chr5	139378927	139380525	+	81	NA	promoter-TSS (ENSMUST00000051293.7)	-promoter-TSS (ENSMUST00000051293.7)	-855	ENSMUST00000051293.7	ENSMUST00000051293	ENSMUST00000051293						NA
H3K27ac_i73_peak_3215	chr15	38470206	38470576	+	81	NA	Intergenic	Intergenic	-15257	ENSMUST00000228650.1	ENSMUST00000228650	ENSMUST00000228650						NA
H3K27ac_i73_peak_5930	chr2	164456593	164457280	+	81	NA	promoter-TSS (ENSMUST00000109352.7)	-promoter-TSS (ENSMUST00000109352.7)	-28	ENSMUST00000142347.1	ENSMUST00000142347	ENSMUST00000142347						NA
H3K27ac_i73_peak_9654	chr8	117700704	117702951	+	80	NA	promoter-TSS (ENSMUST00000034304.8)	-promoter-TSS (ENSMUST00000034304.8)	-77	ENSMUST00000034304.8	ENSMUST00000034304	ENSMUST00000034304						NA
H3K27ac_i73_peak_5367	chr2	27623820	27624982	+	80	NA	Intergenic	Intergenic	-52039	ENSMUST00000129514.7	ENSMUST00000129514	ENSMUST00000129514						NA
H3K27ac_i73_peak_9654-2	chr8	117700704	117702951	+	80	NA	promoter-TSS (ENSMUST00000034304.8)	-promoter-TSS (ENSMUST00000034304.8)	-77	ENSMUST00000034304.8	ENSMUST00000034304	ENSMUST00000034304						NA
H3K27ac_i73_peak_10013	chr9	57640282	57640925	+	80	NA	intron (ENSMUST00000215396.1, intron 2 of 14)	-intron (ENSMUST00000034863.7, intron 1 of 12)	4506	ENSMUST00000216934.1	ENSMUST00000216934	ENSMUST00000216934						NA
H3K27ac_i73_peak_5404	chr2	30197564	30198141	+	80	NA	intron (ENSMUST00000113662.7, intron 1 of 12)	-intron (ENSMUST00000044038.9, intron 1 of 12)	507	ENSMUST00000113661.9	ENSMUST00000113661	ENSMUST00000113661						NA
H3K27ac_i73_peak_2745	chr13	115089328	115089856	+	80	NA	promoter-TSS (ENSMUST00000225343.1)	-promoter-TSS (ENSMUST00000225343.1)	91	ENSMUST00000225343.1	ENSMUST00000225343	ENSMUST00000225343						NA
